Name,Category,Canonical SMILES,Isomeric SMILES,IUPAC
Voacangine,Unknown,CCC1CC2CC3(C1N(C2)CCC4=C3NC5=C4C=C(C=C5)OC)C(=O)OC,CC[C@H]1C[C@H]2C[C@@]3([C@H]1N(C2)CCC4=C3NC5=C4C=C(C=C5)OC)C(=O)OC,"methyl (1S,15S,17S,18S)-17-ethyl-7-methoxy-3,13-diazapentacyclo[13.3.1.02,10.04,9.013,18]nonadeca-2(10),4(9),5,7-tetraene-1-carboxylate"
Lysergic acid amide,Lysergamide,CN1CC(C=C2C1CC3=CNC4=CC=CC2=C34)C(=O)N,CN1C[C@@H](C=C2[C@H]1CC3=CNC4=CC=CC2=C34)C(=O)N,"(6aR,9R)-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide"
N1-Methyl-lysergic acid diethylamide,Lysergamide,CCN(CC)C(=O)C1CN(C2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C,CCN(CC)C(=O)[C@H]1CN([C@@H]2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C,"(6aR,9R)-N,N-diethyl-4,7-dimethyl-6,6a,8,9-tetrahydroindolo[4,3-fg]quinoline-9-carboxamide"
1-Propionyl-lysergic acid diethylamide,Lysergamide,CCC(=O)N1C=C2CC3C(=CC(CN3C)C(=O)N(CC)CC)C4=C2C1=CC=C4,CCC(=O)N1C=C2C[C@@H]3C(=C[C@H](CN3C)C(=O)N(CC)CC)C4=C2C1=CC=C4,"(6aR,9R)-N,N-diethyl-7-methyl-4-propanoyl-6,6a,8,9-tetrahydroindolo[4,3-fg]quinoline-9-carboxamide"
6-Allyl-6-nor-lysergic acid diethylamide,Lysergamide,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)CC=C,CCN(CC)C(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)CC=C,"(6aR,9R)-N,N-diethyl-7-prop-2-enyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide"
6-Ethyl-6-nor-lysergic acid diethylamide,Lysergamide,CCN1CC(C=C2C1CC3=CNC4=CC=CC2=C34)C(=O)N(CC)CC,CCN1C[C@@H](C=C2[C@H]1CC3=CNC4=CC=CC2=C34)C(=O)N(CC)CC,"(6aR,9R)-N,N,7-triethyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide"
6-Propyl-6-nor-lysergic acid diethylamide,Lysergamide,CCCN1CC(C=C2C1CC3=CNC4=CC=CC2=C34)C(=O)N(CC)CC,CCCN1C[C@@H](C=C2[C@H]1CC3=CNC4=CC=CC2=C34)C(=O)N(CC)CC,"(6aR,9R)-N,N-diethyl-7-propyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide"
Lysergic acid ethylamide,Lysergamide,CCNC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,CCNC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C,"(6aR,9R)-N-ethyl-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide"
Lysergic acid 2-butyl amide,Lysergamide,CCC(C)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,CC[C@@H](C)NC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C,"(6aR,9R)-N-[(2R)-butan-2-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide"
Lysergic acid 3-pentyl amide,Lysergamide,CCC(CC)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,CCC(CC)NC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C,"(6aR,9R)-7-methyl-N-pentan-3-yl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide"
Lysergic acid methyl ester,Lysergamide,CN1CC(C=C2C1CC3=CNC4=CC=CC2=C34)C(=O)OC,CN1C[C@@H](C=C2[C@H]1CC3=CNC4=CC=CC2=C34)C(=O)OC,"methyl (6aR,9R)-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxylate"
"Lysergic acid 2,4-dimethylazetidide",Lysergamide,CC1CC(N1C(=O)C2CN(C3CC4=CNC5=CC=CC(=C45)C3=C2)C)C,C[C@H]1C[C@@H](N1C(=O)[C@H]2CN([C@@H]3CC4=CNC5=CC=CC(=C45)C3=C2)C)C,"[(6aR,9R)-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinolin-9-yl]-[(2S,4S)-2,4-dimethylazetidin-1-yl]methanone"
Methylisopropyllysergamide,Lysergamide,CC(C)N(C)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,CC(C)N(C)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,"N,7-dimethyl-N-propan-2-yl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide"
N-Morpholinyllysergamide,Lysergamide,CN1CC(C=C2C1CC3=CNC4=CC=CC2=C34)C(=O)N5CCOCC5,CN1C[C@@H](C=C2[C@H]1CC3=CNC4=CC=CC2=C34)C(=O)N5CCOCC5,"[(6aR,9R)-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinolin-9-yl]-morpholin-4-ylmethanone"
Lophophine,Phenethylamine,COC1=CC(=CC2=C1OCO2)CCN,COC1=CC(=CC2=C1OCO2)CCN,"2-(7-methoxy-1,3-benzodioxol-5-yl)ethanamine"
Isomescaline,Phenethylamine,COC1=C(C(=C(C=C1)CCN)OC)OC,COC1=C(C(=C(C=C1)CCN)OC)OC,"2-(2,3,4-trimethoxyphenyl)ethanamine"
Cyclopropylmescaline,Phenethylamine,COC1=CC(=CC(=C1OCC2CC2)OC)CCN,COC1=CC(=CC(=C1OCC2CC2)OC)CCN,"2-[4-(cyclopropylmethoxy)-3,5-dimethoxyphenyl]ethanamine"
Jimscaline,Phenethylamine,COC1=C(C(=C2CCC(C2=C1)CN)OC)OC,COC1=C(C(=C2CC[C@H](C2=C1)CN)OC)OC,"[(1R)-4,5,6-trimethoxy-2,3-dihydro-1H-inden-1-yl]methanamine"
Metaescaline,Phenethylamine,CCOC1=CC(=CC(=C1OC)OC)CCN,CCOC1=CC(=CC(=C1OC)OC)CCN,"2-(3-ethoxy-4,5-dimethoxyphenyl)ethanamine"
Trisescaline,Phenethylamine,CCOC1=CC(=CC(=C1OCC)OCC)CCN,CCOC1=CC(=CC(=C1OCC)OCC)CCN,"2-(3,4,5-triethoxyphenyl)ethanamine"
Symbescaline,Phenethylamine,CCOC1=CC(=CC(=C1OC)OCC)CCN,CCOC1=CC(=CC(=C1OC)OCC)CCN,"2-(3,5-diethoxy-4-methoxyphenyl)ethanamine"
Asymbescaline,Phenethylamine,CCOC1=CC(=CC(=C1OCC)OC)CCN,CCOC1=CC(=CC(=C1OCC)OC)CCN,"2-(3,4-diethoxy-5-methoxyphenyl)ethanamine"
Phenescaline,Phenethylamine,COC1=CC(=CC(=C1OCCC2=CC=CC=C2)OC)CCN,COC1=CC(=CC(=C1OCCC2=CC=CC=C2)OC)CCN,"2-[3,5-dimethoxy-4-(2-phenylethoxy)phenyl]ethanamine"
Allylescaline,Phenethylamine,COC1=CC(=CC(=C1OCC=C)OC)CCN,COC1=CC(=CC(=C1OCC=C)OC)CCN,"2-(3,5-dimethoxy-4-prop-2-enoxyphenyl)ethanamine"
Proscaline,Phenethylamine,CCCOC1=C(C=C(C=C1OC)CCN)OC,CCCOC1=C(C=C(C=C1OC)CCN)OC,"2-(3,5-dimethoxy-4-propoxyphenyl)ethanamine"
Isoproscaline,Phenethylamine,CC(C)OC1=C(C=C(C=C1OC)CCN)OC,CC(C)OC1=C(C=C(C=C1OC)CCN)OC,"2-(3,5-dimethoxy-4-propan-2-yloxyphenyl)ethanamine"
Metaproscaline,Phenethylamine,CCCOC1=CC(=CC(=C1OC)OC)CCN,CCCOC1=CC(=CC(=C1OC)OC)CCN,"2-(3,4-dimethoxy-5-propoxyphenyl)ethanamine"
Thioproscaline,Phenethylamine,CCCSC1=C(C=C(C=C1OC)CCN)OC,CCCSC1=C(C=C(C=C1OC)CCN)OC,"2-(3,5-dimethoxy-4-propylsulfanylphenyl)ethanamine"
Buscaline,Phenethylamine,CCCCOC1=C(C=C(C=C1OC)CCN)OC,CCCCOC1=C(C=C(C=C1OC)CCN)OC,"2-(4-butoxy-3,5-dimethoxyphenyl)ethanamine"
Thiobuscaline,Phenethylamine,CCCCSC1=C(C=C(C=C1OC)CCN)OC,CCCCSC1=C(C=C(C=C1OC)CCN)OC,"2-(4-butylsulfanyl-3,5-dimethoxyphenyl)ethanamine"
Ariadne,Phenethylamine,CCC(CC1=C(C=C(C(=C1)OC)C)OC)N,CCC(CC1=C(C=C(C(=C1)OC)C)OC)N,"1-(2,5-dimethoxy-4-methylphenyl)butan-2-amine"
Macromerine,Phenethylamine,CN(C)CC(C1=CC(=C(C=C1)OC)OC)O,CN(C)CC(C1=CC(=C(C=C1)OC)OC)O,"1-(3,4-dimethoxyphenyl)-2-(dimethylamino)ethanol"
TOM,Phenethylamine,COC1=CC=CC=C1C(=CC(=O)C(=O)O)S,COC1=CC=CC=C1/C(=C\C(=O)C(=O)O)/S,(E)-4-(2-methoxyphenyl)-2-oxo-4-sulfanylbut-3-enoic acid
Bis-TOM,Phenethylamine,CC1=CC(=C(C=C1SC)CC(C)N)SC,CC1=CC(=C(C=C1SC)CC(C)N)SC,"1-[4-methyl-2,5-bis(methylsulfanyl)phenyl]propan-2-amine"
TOMSO,Phenethylamine,CC1=CC(=C(C=C1S(=O)C)CC(C)N)OC,CC1=CC(=C(C=C1S(=O)C)CC(C)N)OC,1-(2-methoxy-4-methyl-5-methylsulfinylphenyl)propan-2-amine
BOH,Phenethylamine,C(CO)NN,C(CO)NN,2-hydrazinylethanol
4-D,Phenethylamine,CC(CC1=CC(=C(C(=C1)OC)OC)OC)N,[2H]C([2H])([2H])OC1=C(C=C(C=C1OC)CC(C)N)OC,"1-[3,5-dimethoxy-4-(trideuteriomethoxy)phenyl]propan-2-amine"
F-22,Phenethylamine,CC(CC1=C(C=C2CC(OC2=C1)(C)C)OC)N,CC(CC1=C(C=C2CC(OC2=C1)(C)C)OC)N,"1-(5-methoxy-2,2-dimethyl-3H-1-benzofuran-6-yl)propan-2-amine"
