Name,Category,Canonical SMILES,Isomeric SMILES,IUPAC
TFMFly,Phenethylamine,CC(CC1=C2CCOC2=C(C3=C1OCC3)C(F)(F)F)N,CC(CC1=C2CCOC2=C(C3=C1OCC3)C(F)(F)F)N,"1-[4-(trifluoromethyl)-2,3,6,7-tetrahydrofuro[2,3-f][1]benzofuran-8-yl]propan-2-amine"
"2-Bromo-4,5-methylenedioxyamphetamine",Phenethylamine,CC(CC1=CC2=C(C=C1Br)OCO2)N,CC(CC1=CC2=C(C=C1Br)OCO2)N,"1-(6-bromo-1,3-benzodioxol-5-yl)propan-2-amine"
"4-Bromo-3,5-dimethoxyamphetamine",Phenethylamine,CC(CC1=CC(=C(C(=C1)OC)Br)OC)N,CC(CC1=CC(=C(C(=C1)OC)Br)OC)N,"1-(4-bromo-3,5-dimethoxyphenyl)propan-2-amine"
EEE,Phenethylamine,CCOC1=CC(=C(C=C1CC(C)N)OCC)OCC,CCOC1=CC(=C(C=C1CC(C)N)OCC)OCC,"1-(2,4,5-triethoxyphenyl)propan-2-amine"
EME,Phenethylamine,CCOC1=CC(=C(C=C1CC(C)N)OCC)OC,CCOC1=CC(=C(C=C1CC(C)N)OCC)OC,"1-(2,5-diethoxy-4-methoxyphenyl)propan-2-amine"
EMM,Phenethylamine,CCOC1=CC(=C(C=C1CC(C)N)OC)OC,CCOC1=CC(=C(C=C1CC(C)N)OC)OC,"1-(2-ethoxy-4,5-dimethoxyphenyl)propan-2-amine"
EDMA,Phenethylamine,CC(CC1=CC2=C(C=C1)OCCO2)NC,CC(CC1=CC2=C(C=C1)OCCO2)NC,"1-(2,3-dihydro-1,4-benzodioxin-6-yl)-N-methylpropan-2-amine"
Ethyl-K,Phenethylamine,CCCC(CC1=CC2=C(C=C1)OCO2)NCC,CCCC(CC1=CC2=C(C=C1)OCO2)NCC,"1-(1,3-benzodioxol-5-yl)-N-ethylpentan-2-amine"
Methyl-K,Phenethylamine,CCCC(CC1=CC2=C(C=C1)OCO2)NC,CCCC(CC1=CC2=C(C=C1)OCO2)NC,"1-(1,3-benzodioxol-5-yl)-N-methylpentan-2-amine"
IDNNA,Phenethylamine,CC(CC1=CC(=C(C=C1OC)I)OC)N(C)C,CC(CC1=CC(=C(C=C1OC)I)OC)N(C)C,"1-(4-iodo-2,5-dimethoxyphenyl)-N,N-dimethylpropan-2-amine"
MDAI,Phenethylamine,C1C(CC2=CC3=C(C=C21)OCO3)N,C1C(CC2=CC3=C(C=C21)OCO3)N,"6,7-dihydro-5H-cyclopenta[f][1,3]benzodioxol-6-amine"
MDMAI,Phenethylamine,CNC1CC2=CC3=C(C=C2C1)OCO3,CNC1CC2=CC3=C(C=C2C1)OCO3,"N-methyl-6,7-dihydro-5H-cyclopenta[f][1,3]benzodioxol-6-amine"
MDAT,Phenethylamine,C1CC2=CC3=C(C=C2CC1N)OCO3,C1CC2=CC3=C(C=C2CC1N)OCO3,"5,6,7,8-tetrahydrobenzo[f][1,3]benzodioxol-6-amine"
MDMAT,Phenethylamine,CNC1CCC2=CC3=C(C=C2C1)OCO3,CNC1CCC2=CC3=C(C=C2C1)OCO3,"N-methyl-5,6,7,8-tetrahydrobenzo[f][1,3]benzodioxol-6-amine"
MDBZ,Phenethylamine,CC(CC1=CC2=C(C=C1)OCO2)NCC3=CC=CC=C3,CC(CC1=CC2=C(C=C1)OCO2)NCC3=CC=CC=C3,"1-(1,3-benzodioxol-5-yl)-N-benzylpropan-2-amine"
MDIP,Phenethylamine,CN1C(=CC2=C(C1=O)C(=NO2)C3=CC=CC=C3)C4=CC=CC=C4,CN1C(=CC2=C(C1=O)C(=NO2)C3=CC=CC=C3)C4=CC=CC=C4,"5-methyl-3,6-diphenyl-[1,2]oxazolo[4,5-c]pyridin-4-one"
MDMEO,Phenethylamine,CC(CC1=CC2=C(C=C1)OCO2)NOC,CC(CC1=CC2=C(C=C1)OCO2)NOC,"1-(1,3-benzodioxol-5-yl)-N-methoxypropan-2-amine"
MDHOET,Phenethylamine,CC(CC1=CC2=C(C=C1)OCO2)NCCO,CC(CC1=CC2=C(C=C1)OCO2)NCCO,"2-[1-(1,3-benzodioxol-5-yl)propan-2-ylamino]ethanol"
MDPR,Phenethylamine,CCCNC(C)CC1=CC2=C(C=C1)OCO2.Cl,CCCNC(C)CC1=CC2=C(C=C1)OCO2.Cl,"1-(1,3-benzodioxol-5-yl)-N-propylpropan-2-amine;hydrochloride"
MEDA,Phenethylamine,CN(C)CCS.Cl,CN(C)CCS.Cl,2-(dimethylamino)ethanethiol;hydrochloride
Methyl-DMA,Phenethylamine,CC(CC1=C(C=CC(=C1)OC)OC)NC,CC(CC1=C(C=CC(=C1)OC)OC)NC,"1-(2,5-dimethoxyphenyl)-N-methylpropan-2-amine"
MMDA,Phenethylamine,CC(CC1=CC2=C(C(=C1)OC)OCO2)N,CC(CC1=CC2=C(C(=C1)OC)OCO2)N,"1-(7-methoxy-1,3-benzodioxol-5-yl)propan-2-amine"
MMDA-2,Phenethylamine,CC(CC1=CC2=C(C=C1OC)OCO2)N,CC(CC1=CC2=C(C=C1OC)OCO2)N,"1-(6-methoxy-1,3-benzodioxol-5-yl)propan-2-amine"
5-Methyl-MDA,Phenethylamine,CC1=CC(=CC2=C1OCO2)CC(C)N,CC1=CC(=CC2=C1OCO2)CC(C)N,"1-(7-methyl-1,3-benzodioxol-5-yl)propan-2-amine"
DiFMDA,Phenethylamine,CC(CC1=CC2=C(C=C1)OC(O2)(F)F)N,CC(CC1=CC2=C(C=C1)OC(O2)(F)F)N,"1-(2,2-difluoro-1,3-benzodioxol-5-yl)propan-2-amine"
5-APB,Phenethylamine,CC(CC1=CC2=C(C=C1)OC=C2)N,CC(CC1=CC2=C(C=C1)OC=C2)N,1-(1-benzofuran-5-yl)propan-2-amine
6-APB,Phenethylamine,CC(CC1=CC2=C(C=C1)C=CO2)N,CC(CC1=CC2=C(C=C1)C=CO2)N,1-(1-benzofuran-6-yl)propan-2-amine
5-APDB,Phenethylamine,CC(CC1=CC2=C(C=C1)OCC2)N,CC(CC1=CC2=C(C=C1)OCC2)N,"1-(2,3-dihydro-1-benzofuran-5-yl)propan-2-amine"
6-APDB,Phenethylamine,CC(CC1=CC2=C(CCO2)C=C1)N,CC(CC1=CC2=C(CCO2)C=C1)N,"1-(2,3-dihydro-1-benzofuran-6-yl)propan-2-amine"
5-MAPB,Phenethylamine,CC(CC1=CC2=C(C=C1)OC=C2)NC,CC(CC1=CC2=C(C=C1)OC=C2)NC,1-(1-benzofuran-5-yl)-N-methylpropan-2-amine
6-MAPDB,Phenethylamine,CC(CC1=CC2=C(CCO2)C=C1)NC,CC(CC1=CC2=C(CCO2)C=C1)NC,"1-(2,3-dihydro-1-benzofuran-6-yl)-N-methylpropan-2-amine"
6-MAPB,Phenethylamine,CC(CC1=CC2=C(C=C1)OC=C2)NC,CC(CC1=CC2=C(C=C1)OC=C2)NC,1-(1-benzofuran-5-yl)-N-methylpropan-2-amine
5-EAPB,Phenethylamine,CCNC(C)CC1=CC2=C(C=C1)OC=C2,CCNC(C)CC1=CC2=C(C=C1)OC=C2,1-(1-benzofuran-5-yl)-N-ethylpropan-2-amine
Para-Methoxyamphetamine,Phenethylamine,CC(CC1=CC=C(C=C1)OC)N,CC(CC1=CC=C(C=C1)OC)N,1-(4-methoxyphenyl)propan-2-amine
4-Ethylamphetamine,Phenethylamine,CCC1=CC=C(C=C1)CC(C)N,CCC1=CC=C(C=C1)CC(C)N,1-(4-ethylphenyl)propan-2-amine
3-Methoxy-4-methylamphetamine,Phenethylamine,CC1=C(C=C(C=C1)CC(C)N)OC,CC1=C(C=C(C=C1)CC(C)N)OC,1-(3-methoxy-4-methylphenyl)propan-2-amine
4-Methylmethamphetamine,Phenethylamine,CC1=CC=C(C=C1)CC(C)NC,CC1=CC=C(C=C1)CC(C)NC,N-methyl-1-(4-methylphenyl)propan-2-amine
4-Methylthioamphetamine,Phenethylamine,CC(CC1=CC=C(C=C1)SC)N,CC(CC1=CC=C(C=C1)SC)N,1-(4-methylsulfanylphenyl)propan-2-amine
4-Fluoroamphetamine,Phenethylamine,CC(CC1=CC=C(C=C1)F)N,CC(CC1=CC=C(C=C1)F)N,1-(4-fluorophenyl)propan-2-amine
Norfenfluramine,Phenethylamine,CC(CC1=CC(=CC=C1)C(F)(F)F)N,CC(CC1=CC(=CC=C1)C(F)(F)F)N,1-[3-(trifluoromethyl)phenyl]propan-2-amine
Para-Iodoamphetamine,Phenethylamine,CC(CC1=CC=C(C=C1)I)N,CC(CC1=CC=C(C=C1)I)N,1-(4-iodophenyl)propan-2-amine
Para-Chloroamphetamine,Phenethylamine,CC(CC1=CC=C(C=C1)Cl)N,CC(CC1=CC=C(C=C1)Cl)N,1-(4-chlorophenyl)propan-2-amine
Efavirenz,Benzoxazine,C1CC1C#CC2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F,C1CC1C#C[C@]2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F,"(4S)-6-chloro-4-(2-cyclopropylethynyl)-4-(trifluoromethyl)-1H-3,1-benzoxazin-2-one"
